Customer_ID,Customer_Address,Customer_Postal_Code,Customer_City,Customer_State,Customer_Country,Contact_Name,Contact_Phone
81313,897 Long Airport Avenue,73301,Austin,TX,USA,"Yu, Kwai",+10740359934
36763,59 rue de l'Abbaye,30033,Atlanta,GA,USA,"Henriot, Paul",759-472-0266
35419,27 rue du Colonel Pierre Avia,33480,Palm Beach,FL,USA,"Da Cunha, Daniel",+17238100489
80949,78934 Hillside Dr.,78015,San Antonio,TX,USA,"Young, Julie",694-909-5917
36775,7734 Strong St.,33903,Cape Coral,FL,USA,"Brown, Julie",823 085 9303
82219,9408 Furth Circle,77001,Houston,TX,USA,"Hirano, Juri",+13302580017
79895,"Drammen 121, PR 744 Sentrum",78336,Corpus Christi,TX,USA,"Oeztan, Veysel",(127)-296-1642
82230,"25, rue Lauriston",75001,Dallas,TX,USA,"Perrier, Dominique",735 047 2899
87731,636 St Kilda Road,78336,Corpus Christi,TX,USA,"Ferguson, Peter",936-538-6707
80239,2678 Kingston Rd.,73301,Austin,TX,USA,"Frick, Michael",255 587 7977
76451,"67, rue des Cinquante Otages",75001,Dallas,TX,USA,"Labrune, Janine",(371)-730-8474
33388,Geislweg 14,30805,Augusta,GA,USA,"Pipps, Georg",+16791644659
85736,"Monitor Money Building, 815 Pacific Hwy",77510,Texas City,TX,USA,"Huxley, Adrian",726 228 2751
78587,1785 First Street,76006,Fort Worth,TX,USA,"Benitez, Violeta",792-330-9100
82052,"C/ Moralzarzal, 86",77002,Houston,TX,USA,"Freyre, Diego",750-755-7031
38396,Berguvsvgen  8,32034,Jacksonville,FL,USA,"Berglund, Christina",333-318-6840
34221,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",32034,Jacksonville,FL,USA,"Natividad, Eric",289 150 9756
37108,31 Duncan St. West End,33903,Cape Coral,FL,USA,"Calaghan, Tony",(649)-050-1755
42267,"2, rue du Commerce",33592,Tampa,FL,USA,"Saveley, Mary",+10020909441
79760,1900 Oak St.,77550,Galveston,TX,USA,"Tannamuri, Yoshi",(920)-506-7419
36932,3675 Furth Circle,30033,Atlanta,GA,USA,"Thompson, Steve",(334)-119-6242
39699,4658 Baden Av.,31201,Macon,GA,USA,"Tseng, Kyung",911 251 4435
35908,567 North Pendale Street,33592,Tampa,FL,USA,"Murphy, Leslie",178 171 2469
32588,?kergatan 24,31302,Savannah,GA,USA,"Larsson, Maria",(556)-779-3351
84519,5677 Strong St.,78015,San Antonio,TX,USA,"Nelson, Valarie",114-279-8298
83649,7825 Douglas Av.,79835,El Paso,TX,USA,"Nelson, Allen",034-239-9963
39736,201 Miller Street,33480,Palm Beach,FL,USA,"O'Hara, Anna",(584)-367-1246
74259,"54, rue Royale",70032,New Orleans,LA,USA,"Schmitt, Carine",090 466 9945
74530,Vinb'ltet 34,71101,Shreveport,LA,USA,"Petersen, Jytte",+13053787764
73554,4575 Hillside Dr.,70801,Baton Rouge,LA,USA,"Tam, Wing C",750-061-3277
82028,Torikatu 38,78015,Houston,TX,USA,"Koskitalo, Pirkko",+12337955024
32332,3086 Ingle Ln.,31201,Macon,GA,USA,"Frick, Sue",092 457 1763
77058,Village Close - 106 Linden Road Sandown,70032,New Orleans,LA,USA,"Victorino, Wendy",198 634 1051
35305,Strada Provinciale 124,31801,Columbus,GA,USA,"Moroni, Maurizio",+11874608784
82316,4092 Furth Circle,79835,El Paso,TX,USA,"Young, Jeff",+13677982585
78447,Fauntleroy Circus,76006,Fort Worth,TX,USA,"Ashworth, Victoria",748-276-0990
38004,5290 North Pendale Street,30805,Augusta,GA,USA,"Kuo, Kee",+12587201231
76996,4097 Douglas Av.,71101,Shreveport,LA,USA,"Young, Leslie",(391)-979-9493
85563,Via Ludovico il Moro 22,77550,Galveston,TX,USA,"Rovelli, Giovanni",758-365-1557
34073,"Boulevard Tirou, 255",31302,Savannah,GA,USA,"Cartrain, Pascale",(583)-334-1669
33502,16780 Pompton St.,31801,Columbus,GA,USA,"Taylor, Leslie",+16983297994
72375,Garden House Crowther Way,70801,Baton Rouge,LA,USA,"Bennett, Helen",861-250-9596
34221,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",32034,Jacksonville,FL,USA,"Natividad, Eric",289 150 9756
38004,5290 North Pendale Street,30805,Augusta,GA,USA,"Kuo, Kee",+12587201231
80949,78934 Hillside Dr.,78015,San Antonio,TX,USA,"Young, Julie",694-909-5917
